Wall time,Step,Value
1763362108.2369695,120832,-2.488356113433838
1763362116.782765,122880,-2.4881908893585205
1763362125.03157,124928,-2.488132953643799
1763362133.072257,126976,-2.492202043533325
1763362141.7964532,129024,-2.491605043411255
1763362149.9942791,131072,-2.4913530349731445
1763362157.9442313,133120,-2.48346209526062
1763362166.4884832,135168,-2.491455078125
1763362174.3719728,137216,-2.4899110794067383
1763362182.5272868,139264,-2.488042116165161
1763362191.0705633,141312,-2.489656925201416
1763362198.8614416,143360,-2.4829509258270264
1763362207.1293602,145408,-2.4883639812469482
1763362215.631764,147456,-2.4882609844207764
1763362223.2638292,149504,-2.4845080375671387
1763362231.6090417,151552,-2.483778953552246
1763362240.0847778,153600,-2.4802350997924805
1763362247.6996336,155648,-2.4784319400787354
1763362256.1088262,157696,-2.4818758964538574
1763362264.530391,159744,-2.487473964691162
1763362272.124754,161792,-2.486180067062378
1763362280.4932246,163840,-2.491821050643921
1763362289.0015304,165888,-2.4871859550476074
1763362296.577808,167936,-2.4868319034576416
1763362305.0328057,169984,-2.4881908893585205
1763362313.379968,172032,-2.488071918487549
1763362321.0231912,174080,-2.488574981689453
1763362329.4079196,176128,-2.4879260063171387
1763362337.6743548,178176,-2.4864981174468994
1763362345.6069655,180224,-2.484339952468872
1763362354.0000625,182272,-2.47918701171875
1763362361.8039925,184320,-2.486279010772705
1763362369.8561141,186368,-2.488779067993164
1763362378.406962,188416,-2.485327959060669
1763362385.935839,190464,-2.486665964126587
1763362394.2152328,192512,-2.491183042526245
1763362402.704868,194560,-2.49029803276062
1763362410.3183527,196608,-2.4916601181030273
1763362418.557325,198656,-2.49373197555542
1763362427.0396523,200704,-2.494610071182251
1763362434.792791,202752,-2.4920060634613037
1763362443.285301,204800,-2.4808530807495117
1763362451.8083317,206848,-2.4907538890838623
1763362459.532878,208896,-2.484133005142212
1763362468.0052347,210944,-2.4807589054107666
1763362476.503366,212992,-2.491395950317383
1763362484.1944673,215040,-2.490596055984497
1763362492.6503038,217088,-2.4930920600891113
1763362501.1547112,219136,-2.4865670204162598
1763362508.8283174,221184,-2.4805619716644287
1763362517.3240786,223232,-2.481220006942749
1763362525.7844093,225280,-2.4823460578918457
1763362533.4656081,227328,-2.4796149730682373
1763362541.8473306,229376,-2.4906599521636963
1763362549.9768298,231424,-2.4826600551605225
1763362557.9351497,233472,-2.4803450107574463
1763362566.4245155,235520,-2.482887029647827
1763362574.4158673,237568,-2.4851200580596924
1763362582.5070958,239616,-2.488042116165161
1763362591.1181545,241664,-2.48050594329834
1763362599.2069845,243712,-2.4881279468536377
1763362607.234178,245760,-2.478276014328003
1763362615.7041237,247808,-2.487757921218872
1763362623.5178068,249856,-2.488128900527954
1763362631.6955864,251904,-2.488948106765747
1763362640.2634656,253952,-2.4793589115142822
1763362647.958096,256000,-2.4793291091918945
1763362656.2779207,258048,-2.4783389568328857
1763362664.788527,260096,-2.4801559448242188
1763362672.3622234,262144,-2.486219882965088
1763362680.692264,264192,-2.4826619625091553
1763362689.1067731,266240,-2.4813249111175537
1763362696.7414408,268288,-2.4904439449310303
1763362705.12976,270336,-2.4912240505218506
1763362713.6423156,272384,-2.4924440383911133
1763362721.2463157,274432,-2.4926669597625732
1763362729.7194319,276480,-2.4883360862731934
1763362738.1462703,278528,-2.489583969116211
1763362745.7234542,280576,-2.4908370971679688
1763362754.1568835,282624,-2.4910531044006348
1763362762.4487762,284672,-2.4897420406341553
1763362770.3445423,286720,-2.491403102874756
